anonymous_company_id,ticker,company_name,entity_type,gics_sector,industry_group,company_domain,disclosure_page_url,disclosure_page_type,,,,,,,,,,,,,,,,,,,,,
C38,PNI,Pinnacle Investment Management Group Ltd,asx,Financials,Financial Services,pinnacleinvestment.com,https://pinnacleinvestment.com/privacy-policy/,privacy_policy,,,,,,,,,,,,,,,,,,,,,
C39,XYZ,"Block, Inc",asx,Financials,Financial Services,block.xyz,https://block.xyz/legal/privacy-notice,privacy_policy,,,,,,,,,,,,,,,,,,,,,
C39,XYZ,"Block, Inc",asx,Financials,Financial Services,engineering.block.xyz,https://engineering.block.xyz/blog/genai-security-principles,ai_policy,,,,,,,,,,,,,,,,,,,,,
C40,FBU,Fletcher Building Ltd,asx,Industrials,Capital Goods,fletcherbuilding.com,https://fletcherbuilding.com/privacy-statement,privacy_policy,,,,,,,,,,,,,,,,,,,,,
C40,FBU,Fletcher Building Ltd,asx,Industrials,Capital Goods,fletcherbuilding.com,https://fletcherbuilding.com/assets/4-investor-centre/other-documents/FletcherTech-AI-Manifesto-Principles.pdf,ai_policy,,,,,,,,,,,,,,,,,,,,,
C41,SPK,Spark New Zealand Ltd,asx,Communication Services,Telecommunication Services,sparknz.co.nz,https://www.spark.co.nz/help/privacy-and-safety/how-we-manage-privacy/ai-principles/,ai_policy,,,,,,,,,,,,,,,,,,,,,
C42,LOV,Lovisa Holdings Ltd,asx,Consumer Discretionary,Consumer Discretionary Distribution & Retail,lovisa.com,https://www.lovisa.com.au/pages/security-privacy,privacy_policy,,,,,,,,,,,,,,,,,,,,,
C43,GNE,Genesis Energy Ltd,asx,Utilities,Utilities,genesisenergy.co.nz,https://www.genesisenergy.co.nz/terms/privacy-policy,privacy_policy,,,,,,,,,,,,,,,,,,,,,
C44,FLT,Flight Centre Travel Group Ltd,asx,Consumer Discretionary,Consumer Services,flightcentre.com.au,https://flightcentre.com.au/privacy,privacy_policy,,,,,,,,,,,,,,,,,,,,,
C45,CLW,Charter Hall Long Wale REIT,asx,Real Estate,Equity Real Estate Investment Trusts (REITs),charterhall.com.au,https://www.charterhall.com.au/privacy-policy,privacy_policy,,,,,,,,,,,,,,,,,,,,,
C46,CQR,Charter Hall Retail REIT,asx,Real Estate,Equity Real Estate Investment Trusts (REITs),charterhall.com.au,https://www.charterhall.com.au/privacy-policy,privacy_policy,,,,,,,,,,,,,,,,,,,,,
C47,VGN,Virgin Australia Holdings Ltd,asx,Industrials,Transportation,virginaustralia.com,https://www.virginaustralia.com/au/en/about-us/policies/privacy/privacy-policy/,privacy_policy,,,,,,,,,,,,,,,,,,,,,
C48,LLC,Lendlease Group,asx,Real Estate,Real Estate Management & Development,lendlease.com,https://www.lendlease.com/privacy/,privacy_policy,,,,,,,,,,,,,,,,,,,,,
C49,TAH,Tabcorp Holdings Ltd,asx,Consumer Discretionary,Consumer Services,tabcorp.com.au,https://www.tabcorp.com.au/privacy-policy,privacy_policy,,,,,,,,,,,,,,,,,,,,,
C50,ORA,Orora Ltd,asx,Materials,Materials,ororagroup.com,https://www.ororagroup.com/about/privacy-policy,privacy_policy,,,,,,,,,,,,,,,,,,,,,
C51,REG,Regis Healthcare Ltd,asx,Health Care,Health Care Equipment & Services,regishealthcare.com.au,https://www.regis.com.au/privacy-policy/,privacy_policy,,,,,,,,,,,,,,,,,,,,,
